Epoch,t0,err
1625.00000000000000,2.45835518489807E+06,3.22744119557683E-04
1626.00000000000000,2.45835652252988E+06,3.40622872272434E-04
1627.00000000000000,2.45835786106004E+06,3.3415582561247E-04
1628.00000000000000,2.45835919950173E+06,3.5087580772597E-04
1629.00000000000000,2.45836053703351E+06,3.75588795805015E-04
1630.00000000000000,2.45836187536230E+06,3.16031378361004E-04
1631.00000000000000,2.45836321415555E+06,3.41263008976966E-04
1632.00000000000000,2.45836455192436E+06,3.20766320101029E-04
1633.00000000000000,2.45836589058418E+06,3.27612968249014E-04
1636.00000000000000,2.45836990506503E+06,3.5198402269998E-04
1637.00000000000000,2.4583712429779E+06,3.39610434821225E-04
1638.00000000000000,2.45837258122117E+06,3.32316667254418E-04
1639.00000000000000,2.45837391979422E+06,3.68315231753513E-04
1640.00000000000000,2.45837525796276E+06,3.35682643935797E-04
1641.00000000000000,2.45837659623238E+06,3.0043907054278E-04
1642.00000000000000,2.4583779343220E+06,3.53967468299743E-04
1643.00000000000000,2.45837927313779E+06,3.38233102638696E-04
1644.00000000000000,2.45838061096999E+06,3.55808883796271E-04
-1354,2454368.592790,0.000330
-1333,2454396.695760,0.000120
-1108,2454697.798210,0.000100
-1108,2454697.798170,0.000090
-1105,2454701.812930,0.000110
-1105,2454701.813030,0.000180
-1105,2454701.812800,0.000220
-1102,2454705.827150,0.000290
-1085,2454728.577670,0.000420
-1082,2454732.591920,0.000170
-1082,2454732.591970,0.000500
-1076,2454740.621250,0.000350
-1076,2454740.621500,0.000070
-1070,2454748.651110,0.000070
-1067,2454752.665760,0.000690
-851,2455041.723770,0.000180
-848,2455045.738530,0.000080
-845,2455049.753250,0.000070
-842,2455053.767740,0.000090
-830,2455069.826610,0.000290
-830,2455069.826170,0.000380
-830,2455069.826520,0.000090
-830,2455069.826700,0.000280
-830,2455069.826760,0.000310
-827,2455073.841080,0.000290
-827,2455073.841280,0.000260
-827,2455073.841110,0.000230
-827,2455073.841140,0.000180
-818,2455085.884180,0.000860
-810,2455096.591480,0.000220
-807,2455100.605950,0.000120
-798,2455112.650050,0.000310
-798,2455112.650050,0.000490
-798,2455112.649860,0.000390
-798,2455112.650090,0.000330
-783,2455132.723100,0.000410
-532,2455468.619430,0.000460
-489,2455526.163560,0.000080
-470,2455551.590200,0.000378
-301,2455777.750450,0.000140
-295,2455785.780630,0.000110
-269,2455820.574060,0.000295
-263,2455828.603750,0.000410
-260,2455832.618150,0.000410
-260,2455832.618465,0.000144
-251,2455844.662871,0.000090
-242,2455856.706620,0.000070
-242,2455856.706726,0.000211
-198,2455915.588539,0.000298
-70,2456086.882430,0.000163
24,2456212.676458,0.000428
27,2456216.691229,0.000060
81,2456288.956218,0.000150
84,2456292.970248,0.000190
202,2456450.880437,0.000903
296,2456576.675559,0.000050
556,2456924.615612,0.000060
805,2457257.834980,0.000070
808,2457261.849400,0.000100
811,2457265.864490,0.000100
1071,2457613.804650,0.000100
1077,2457621.833790,0.000110
1080,2457625.848650,0.000100
1117,2457675.363020,0.000160
1120,2457679.378080,0.000180
1340,2457973.789030,0.000180
1355,2457993.862310,0.000140
1363,2458004.567613,0.000480
1375,2458020.626616,0.000344
1556,2458262.847716,0.000385
1615,2458341.802416,0.000351
1618,2458345.817050,0.000120
1621,2458349.831480,0.000100
1848,2458653.610100,0.000180
