System,pl_orbincl,st_rad,Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,length,depth,T0,T0err,Period,Perioderr,Ephemeris_reference,st_logg,Teff,Z,pl_orbsmax
GJ_0436,90,0.455, TEP  ,11,42,11.09,26,42,23.6,10.68,6.07,0.04189,0.006,2456295.4319240000,4.5E-05,2.64389782,8E-08,2014Natur.505...66K,4.83,3416,-0.03,0.0308
HAT-P-02,85.97,1.680, TEP  ,16,20,36.36,41,2,53.1,8.71,7.6,0.1787,0.006,2455288.84969,0.00039,5.6334675,1.3E-06,arXiv:1702.03797,4.092,6290,0.14,0.06740
HAT-P-03,87.24,0.850, TEP  ,13,44,22.59,48,1,43.2,11.86,9.45,0.08646000000000000,0.015,2457150.39472,0.00058,2.89973838,2.7E-07,2018A+A...613A..41M,4.545,5190,0.24,0.03878
HAT-P-04,89.9,1.600, TEP  ,15,19,57.93,36,13,46.9,11.0,9.77,0.1775,0.009000000000000000,2454245.8152100000,0.0002,3.0565254,1.2E-06,2012PASP..124..212S,4.134,6036,0.277,0.04465
HAT-P-05,86.75,1.137, TEP  ,18,17,37.3,36,37,16.9,12.0,10.48,0.1217,0.015,2455432.4551,0.0001,2.7884736,5.2E-07,2012MNRAS.422.3099S,4.392,5960,0.24,0.04079
HAT-P-07,85.7,2.02, TEP  ,19,28,59.36,47,58,10.3,10.46,9.33,0.1643,0.0067,2454954.358505,5E-06,2.20473542,1E-08,2014PASJ...66...94B,4.029,6310,0.32,0.03805
HAT-P-14,83.50,1.591, TEP  ,17,20,27.87,38,14,31.9,10.0,8.85,0.0907,0.005,2457138.21545,0.00029,4.627659400000000,1E-06,2016ApJ...819...27F,4.187,6600,0.11,0.06108
HAT-P-16,90,1.158, TEP  ,0,38,17.56,42,27,47.0,10.8,9.55,0.1276,0.01,2455027.59292,0.00019000000000000000,2.7759704,7E-07,2016PASP..128b4402S,4.396,6140,0.12,0.04130
HAT-P-21,90,1.105, TEP  ,11,25,5.88,41,1,40.6,11.69,10.11,0.153,0.011000000000000000,2454996.41312,0.0006900000000000000,4.124481000000000,7E-06,2011ApJ...742..116B,4.33,5588,0.01,0.0494
HAT-P-22,90,1.062, TEP  ,10,22,43.51,50,7,42.0,9.73,7.84,0.1196,0.015,2454930.22016,0.00016,3.21223328,5.8E-07,2016MNRAS.459..789T,4.357,5314,0.30,0.04171
HAT-P-24,90,1.294, TEP  ,7,15,18.0,14,15,45.4,11.75,10.54,0.1539,0.012,2455629.67053,0.00034000000000000000,3.3552479000000000,6.2E-06,2013RAA....13..593W,4.286,6373,-0.16,0.04641
