,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
28,55 Cnc,e,55 Cnc e,Radial Velocity,0,5,0.736539,3.3200940800000005,,83.3,2.4258306e-05,Mass,0.17,6.4,0,0,0,2,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.96,V (Johnson),5.7139999999999995,5196.0,0.91,0.94,2019-01-31,McDonald Observatory
68,CoRoT-11,b,CoRoT-11 b,Transit,0,1,2.99433,9.3753952,0.0,83.17,0.002223519,Mass,1.43,0.99,0,0,0,0,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,560.0,666.35,12.939,V (Johnson),12.841,6440.0,1.27,1.37,2014-05-14,CoRoT
76,CoRoT-2,b,CoRoT-2 b,Transit,0,1,1.7429935,6.01659536,0.0143,88.08,0.003311421,Mass,1.466,1.47,1,0,0,2,19h27m06.49s,291.777056,+01d23m01.4s,1.3837139999999999,200.0,214.56,12.57,V (Johnson),12.249,5625.0,0.96,0.91,2014-05-14,CoRoT
149,GJ 1252,b,GJ 1252 b,Transit,0,1,0.5182349,1.96969312,0.0,85.0,6.2792940000000004e-06,Mass,0.106,,0,0,0,0,20h27m42.06s,306.925235,-56d27m25.2s,-56.456990000000005,20.38,20.38,12.193,V (Johnson),11.235999999999999,3458.0,0.38,0.39,2020-02-13,Transiting Exoplanet Survey Satellite (TESS)
188,GJ 3779,b,GJ 3779 b,Radial Velocity,0,1,3.0232,5.590832,0.07,,2.4019730999999998e-05,Msini,,,0,0,0,0,13h22m56.74s,200.736403,+24d28m03.5s,24.467626,13.75,13.75,12.96,V (Johnson),11.627,3324.0,0.27,0.28,2018-12-06,Calar Alto Observatory
198,GJ 436,b,GJ 436 b,Radial Velocity,0,1,2.64388312,6.2574312,0.13827,86.44,6.680100000000001e-05,Mass,0.37200000000000005,1.8,0,0,0,0,11h42m11.09s,175.546219,+26d42m23.7s,26.706570000000003,9.76,9.76,10.67,V (Johnson),9.571,,0.47,0.46,2015-02-05,W. M. Keck Observatory
226,GJ 876,d,GJ 876 d,Radial Velocity,0,4,1.93778,4.474170824,0.207,59.0,2.0040300000000002e-05,Mass,,,0,0,0,1,22h53m16.74s,343.319733,-14d15m49.3s,-14.2637,4.68,4.68,10.191,V (Johnson),8.875,,0.32,0.3,2014-08-27,W. M. Keck Observatory
229,GJ 9827,b,GJ 9827 b,Transit,0,3,1.2089819,4.0426016,0.0,86.07,1.4743935e-05,Mass,0.141,6.93,0,0,1,1,23h27m04.83s,351.77014199999996,-01d17m10.6s,-1.286273,29.69,29.69,10.25,V (Johnson),9.838,4340.0,0.61,0.6,2019-08-29,K2
246,HAT-P-16,b,HAT-P-16 b,Transit,0,1,2.77596,8.8808216,0.036,86.6,0.0040013799,Mass,1.2890000000000001,2.42,0,0,0,0,00h38m17.56s,9.573181,+42d27m47.1s,42.463078,235.0,228.0,10.812000000000001,V (Johnson),10.757,6158.0,1.22,1.24,2014-05-14,HATNet
252,HAT-P-20,b,HAT-P-20 b,Transit,0,1,2.875317,7.7626552,0.015,86.8,0.006914857800000001,Mass,0.867,13.78,0,0,0,0,07h27m39.95s,111.91646899999999,+24d20m11.9s,24.33663,70.0,71.18,11.339,V (Johnson),10.99,4595.0,0.76,0.69,2014-05-14,HATNet
265,HAT-P-32,b,HAT-P-32 b,Transit,0,1,2.1500082,7.30463704,0.159,88.98,0.000648924,Mass,1.98,0.108,0,0,0,1,02h04m10.28s,31.042848,+46d41m16.2s,46.687836,291.51,291.51,11.289000000000001,V (Johnson),11.133,6001.0,1.13,1.37,2019-07-11,HATNet
269,HAT-P-36,b,HAT-P-36 b,Transit,0,1,1.32734683,5.182271200000001,,87.13,0.00176373726,Mass,1.2770000000000001,1.175,0,0,0,0,12h33m03.90s,188.266255,+44d54m55.3s,44.915352,296.93,296.93,12.262,V (Johnson),12.093,5620.0,1.03,1.04,2019-07-11,HATNet
284,HAT-P-50,b,HAT-P-50 b,Transit,0,1,3.1220109,9.7409496,0.115,83.65,0.0012883050000000002,Mass,1.288,0.78,0,0,0,0,07h52m15.22s,118.06341100000002,+12d08m21.9s,12.13941,497.0,522.76,11.762,V (Johnson),11.672,6280.0,1.27,1.7,2015-11-19,HATNet
