,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
0,11 Com,b,11 Com b,Radial Velocity,0,1,326.03,277.39128,0.231,,0.01851342,Msini,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,93.37,4.74,V (Johnson),4.372,4742.0,2.7,19.0,2014-05-14,Xinglong Station
1,11 UMi,b,11 UMi b,Radial Velocity,0,1,516.21997,328.99896,0.08,,0.014066382,Msini,,,0,0,0,0,15h17m05.89s,229.27453599999998,+71d49m26.0s,71.823898,125.72,125.72,5.016,V (Johnson),4.5,4213.0,2.78,29.79,2018-09-06,Thueringer Landessternwarte Tautenburg
2,14 And,b,14 And b,Radial Velocity,0,1,185.84,178.47656,0.0,,0.00458064,Msini,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,75.59,5.227,V (Johnson),4.872,4813.0,2.2,11.0,2014-05-14,Okayama Astrophysical Observatory
3,14 Her,b,14 Her b,Radial Velocity,0,1,1773.40002,630.04376,0.37,,0.004447038,Msini,,,0,0,0,0,16h10m24.31s,242.60130299999997,+43d49m03.5s,43.817646,17.94,17.94,6.61,V (Johnson),6.379,5338.0,0.9,0.93,2018-09-06,W. M. Keck Observatory
4,16 Cyg B,b,16 Cyg B b,Radial Velocity,0,1,798.5,356.95312,0.68,,0.0016986540000000002,Msini,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,21.15,6.25,V (Johnson),6.057,5750.0,1.08,1.13,2018-09-06,Multiple Observatories
5,18 Del,b,18 Del b,Radial Velocity,0,1,993.3,559.0832,0.08,,0.009829290000000001,Msini,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,76.38,5.506,V (Johnson),5.244,4979.0,2.3,8.5,2014-05-14,Okayama Astrophysical Observatory
7,24 Boo,b,24 Boo b,Radial Velocity,0,1,30.3506,40.856080000000006,0.042,,0.0008684130000000001,Msini,,,0,0,0,0,14h28m37.81s,217.15754700000002,+49d50m41.5s,49.844852,96.25,96.25,5.58,V (Johnson),5.305,4893.0,0.99,10.64,2018-04-26,Okayama Astrophysical Observatory
8,24 Sex,b,24 Sex b,Radial Velocity,0,2,452.8,286.637656,0.09,,0.001899057,Msini,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,72.21,6.441,V (Johnson),6.1979999999999995,5098.0,1.54,4.9,2014-05-14,Lick Observatory
9,24 Sex,c,24 Sex c,Radial Velocity,0,2,883.0,447.26656,0.29,,0.000820698,Msini,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,72.21,6.441,V (Johnson),6.1979999999999995,5098.0,1.54,4.9,2014-05-14,Lick Observatory
11,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,0,1,,33544.992,,,0.01326477,Mass,1.44,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928000000006,39.4,40.09,,,15.012,3064.0,0.11,0.28,2015-05-14,Cerro Tololo Inter-American Observatory
